201.7.215.53|LOCAL
201.46.47.117|EVOLUÇÃO
172.84.94.152|EVOLUÇÃO
45.4.49.79|DESOLATIONZ
189.127.165.172|KEMP
186.226.48.51|ECLIPSEZ
172.84.94.141|DKZ
187.10.236.19|LINUX
45.4.49.79|GOMES
177.86.189.210|MEIAMAO
168.194.43.150|MEIAMAO
173.234.27.86|NOCOMP
168.0.121.10|IDOSOZ
31.214.158.200|ETC
189.127.165.241|ETC
177.81.151.147|ETC
177.125.249.199|ETC
189.127.165.165|ETC
131.196.199.98|MAJOR
131.196.199.100|MAJOR
131.196.199.101|MAJOR
189.127.164.185|IDOSOZ
2804:7110:7100:156:4c42:d723:1d9f:36ab|APOCALYPSE
172.84.94.156|APOCALYPSE
