201.7.215.53|LOCAL
172.84.94.145|CORINGA
2804:7110:7100:156:4c42:d723:1d9f:36ab|APOCALYPSE
172.84.94.156|APOCALYPSE
179.191.10.35|ELVIS
172.84.94.142|NelsonRafael
31.214.158.200|ANKY
172.84.94.172|ANKY
172.84.94.144|JhonWinchester
31.214.158.200|AFTER
31.214.158.194|AFTER
45.40.99.147|SOLANGE
172.84.94.147|SOLANGE
181.215.236.115|CH
206.42.13.63|REMAKEZ
45.40.99.147|XAVIER
131.196.199.98|XAVIER
26.47.124.137|XAVIER
201.46.47.117|EVOLUÇÃO
172.84.94.152|EVOLUÇÃO
143.255.226.147|PROZ
45.4.49.79|PROZ
200.24.116.157|PROZ
201.11.246.74|PROZ
179.108.169.230|PROZ
181.215.236.118|DEADZONE
189.127.165.162|FABRICIO
189.127.165.161|FABRICIO
181.215.236.114|FABRICIO
189.127.165.160|FABRICIO
186.232.139.46|FABRICIO
186.232.141.231|FABRICIO
172.84.94.160|FABRICIO 
179.223.113.106|VOODO
189.127.165.175|BLACKSKULL
189.127.164.190|NOVAERAZ
189.127.164.190|CARLOSYOUTUBER
177.204.16.179|CARLOSYOUTUBER
45.159.7.163|ChiBala
45.159.7.95|ChiBala
104.234.251.168|Chibala
181.215.236.118|ERICK
104.234.252.158|FNK
187.44.95.94|ANONYMOUS
181.215.236.116|DIHZ
144.76.179.33|DIHZ
177.86.189.210|MEIAMAO
172.84.94.141|DKZ
187.10.236.19|LINUX
45.4.49.79|GOMES
181.215.236.113|DARK
172.84.94.153|DARK
189.127.165.164|REFUGIO
143.255.226.147|CH
172.84.94.139|MASSARIOLI
177.201.61.234|MASSARIOLI
